panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,x,y,width,height
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,75,_nolegend_,5.1296,0.18587792262245784,0.2208,0.7118118388423074
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,76,_nolegend_,6.1296,0.04085573560097449,0.2208,0.3633431574028994
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,77,_nolegend_,7.1296,0.049180392537794736,0.2208,0.4992519961002108
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,78,_nolegend_,8.1296,0.16328279960056535,0.2208,0.783260360439308
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,79,_nolegend_,9.1296,0.1668504379253621,0.2208,0.7537715595120487
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,80,_nolegend_,0.1296,0.9217373039904244,0.2208,0.07826269643536454
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,81,_nolegend_,1.1296,0.9378992202384203,0.2208,0.06210078390688678
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,82,_nolegend_,2.1296000000000004,0.7629609442110814,0.2208,0.23703905496200606
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,83,_nolegend_,3.1296000000000004,0.7862651201531602,0.2208,0.21373487930897683
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,84,_nolegend_,4.1296,0.9289990010397013,0.2208,0.07100099896864176
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,85,_nolegend_,5.1296,0.8976897614647653,0.2208,0.1023102374622733
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,86,_nolegend_,6.1296,0.4041988930038739,0.2208,0.5958011050423859
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,87,_nolegend_,7.1296,0.5484323886380056,0.2208,0.45156761100598186
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,88,_nolegend_,8.1296,0.9465431600398734,0.2208,0.05345683782342048
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,89,_nolegend_,9.1296,0.9206219974374108,0.2208,0.07937800026823738
