panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y,width,height
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,41,_nolegend_,,1.7,-0.04026227444410324,0.6000000000000001,-0.5466055870056152
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,42,_nolegend_,,2.7,-0.01775873824954033,0.6000000000000001,-0.7170889973640442
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,43,_nolegend_,,3.7,-0.011251521296799183,0.6000000000000001,-0.8711006045341492
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,44,_nolegend_,,4.7,-0.012818031013011932,0.6000000000000001,-0.8517329692840576
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,45,_nolegend_,,0.7,-0.08901455905288458,0.6000000000000001,-0.1011694148182869
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,46,_nolegend_,,1.7,-0.5868678614497185,0.6000000000000001,-0.1394333690404892
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,47,_nolegend_,,2.7,-0.7348477356135845,0.6000000000000001,-0.012663045898079872
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,48,_nolegend_,,3.7,-0.8823521258309484,0.6000000000000001,-0.02352585457265377
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,49,_nolegend_,,4.7,-0.8645510002970695,0.6000000000000001,-0.025516197085380554
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,50,_nolegend_,,0.7,-0.19018397387117147,0.6000000000000001,-0.030654486268758774
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,51,_nolegend_,,1.7,-0.7263012304902077,0.6000000000000001,-0.009547408670186996
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,52,_nolegend_,,2.7,-0.7475107815116644,0.6000000000000001,-0.0023586046881973743
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,53,_nolegend_,,3.7,-0.9058779804036021,0.6000000000000001,-0.0027356650680303574
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,54,_nolegend_,,4.7,-0.8900671973824501,0.6000000000000001,-0.003233365248888731
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,55,_nolegend_,,0.7,-0.22083846013993025,0.6000000000000001,-0.712067723274231
